nummer,name,bisher,rang,veraenderte_SPListen,veraenderte_andere,veraenderte_Total,unveranderte,Total_Stimmen
0,Baumgartner Julia,F,0.000,1121,168,1289,1301,2590
1,Bessenich Salome,F,0.038,1284,361,1645,1301,2946
2,Brandenburger Jessica,T,0.077,1568,656,2224,1301,3525
3,Bruderer Sophie,F,0.115,967,297,1264,1301,2565
4,Dürr Miriam,F,0.154,1283,253,1536,1301,2837
5,Fink von Heeren Marie-Luise,F,0.192,1129,161,1290,1301,2591
6,Gölgeli Edibe,T,0.231,1851,807,2658,1301,3959
7,Hofer Salome,T,0.269,1685,1096,2781,1301,4082
8,Keller Christine,F,0.308,1259,301,1560,1301,2861
9,Seggiani Michela,T,0.346,1558,374,1932,1301,3233
10,Stracuk El Shemerly Klara,F,0.385,1101,177,1278,1301,2579
11,Wenk Kerstin,T,0.423,1614,686,2300,1301,3601
12,Wyss Sarah,T,0.462,1831,904,2735,1301,4036
13,Zingarelli Jacqueline,F,0.500,1009,132,1141,1301,2442
14,Balmer Ivo,F,0.538,1251,391,1642,1301,2943
15,Baumgartner Beda,T,0.577,1579,501,2080,1301,3381
16,Christen Markus,F,0.615,985,194,1179,1301,2480
17,Colomb Marcel,F,0.654,1025,271,1296,1301,2597
18,Gmür Daniel,F,0.692,963,197,1160,1301,2461
19,Hui Hannes,F,0.731,1095,446,1541,1301,2842
20,Kabakci Mahir,F,0.769,1780,405,2185,1301,3486
21,Kölliker Sebastian,T,0.808,1484,634,2118,1301,3419
22,Mattmüller Georg,T,0.846,1370,464,1834,1301,3135
23,Maurer Reto,F,0.885,1022,94,1116,1301,2417
24,Russano Nino,F,0.923,879,185,1064,1301,2365
25,Schuler Philipp,F,0.962,887,151,1038,1301,2339
26,Wiss Lukas,F,1.000,825,126,951,1301,2252
